car,overall_position,class_position,team,vehicle,class,group,race,event_duration,season,laps,total_time,gap_first,gap_car_ahead,tyres,status,fl_lap_number,fl_time,fl_kph_average,driver_1,driver_2,driver_3
Richard Mille Racing Team #1,59,24,Richard Mille Racing Team,Oreca 07 - Gibson,LMP2,,LeMans,24,2021,74,5:05:41.433,297 Laps,1 Laps,Goodyear,Retired,20.0,3:35.137,228.0,Tatiana CALDERON,Sophia FLOERSCH,Beitske VISSER
Proton Competition #99,60,22,Proton Competition,Porsche 911 RSR - 19,LMGTE Am,,LeMans,24,2021,66,4:54:53.633,305 Laps,8 Laps,Michelin,Retired,41.0,3:53.285,210.3,Harry TINCKNELL,Vuttikhorn INTHRAPHUVASAK,Florian LATORRE
Aston Martin Racing #98,61,23,Aston Martin Racing,Aston Martin Vantage AMR,LMGTE Am,,LeMans,24,2021,45,3:11:43.090,326 Laps,21 Laps,Michelin,Retired,20.0,3:51.740,211.7,Paul DALLA LANA,Nicki THIIM,Marcos GOMES
Toyota Gazoo Racing #8,1,1,Toyota Gazoo Racing,Toyota GR010 HYBRID,HYPERCAR,H,Spa,6,2021,162,6:00:17.733,,,Michelin,Classified,140.0,2:03.930,203.5,Sébastien BUEMI,Kazuki NAKAJIMA,Brendon HARTLEY
Alpine Elf Matmut #36,2,2,Alpine Elf Matmut,Alpine A480 - Gibson,HYPERCAR,,Spa,6,2021,162,6:01:24.929,1'07.196,1'07.196,Michelin,Classified,89.0,2:04.822,202.0,André NEGRÃO,Nicolas LAPIERRE,Matthieu VAXIVIERE
Toyota Gazoo Racing #7,3,3,Toyota Gazoo Racing,Toyota GR010 HYBRID,HYPERCAR,H,Spa,6,2021,161,6:00:46.363,1 Laps,1 Laps,Michelin,Classified,155.0,2:05.030,201.7,Mike CONWAY,Kamui KOBAYASHI,Jose Maria LOPEZ
United Autosports USA #22,4,1,United Autosports USA,Oreca 07 - Gibson,LMP2,,Spa,6,2021,161,6:01:55.453,1 Laps,1'09.090,Goodyear,Classified,2.0,2:05.605,200.7,Philip HANSON,Fabio SCHERER,Filipe ALBUQUERQUE
JOTA #38,5,2,JOTA,Oreca 07 - Gibson,LMP2,,Spa,6,2021,160,6:00:47.699,2 Laps,1 Laps,Goodyear,Classified,43.0,2:06.543,199.3,Roberto GONZALEZ,Antonio Felix DA COSTA,Anthony DAVIDSON
JOTA #28,6,3,JOTA,Oreca 07 - Gibson,LMP2,,Spa,6,2021,160,6:00:59.804,2 Laps,12.105,Goodyear,Classified,113.0,2:06.819,198.8,Sean GELAEL,Stoffel VANDOORNE,Tom BLOMQVIST
Racing Team Nederland #29,7,4,Racing Team Nederland,Oreca 07 - Gibson,LMP2,P/A,Spa,6,2021,159,6:00:32.548,3 Laps,1 Laps,Goodyear,Classified,122.0,2:06.384,199.5,Frits VAN EERD,Giedo VAN DER GARDE,Job VAN UITERT
Inter Europol Competition #34,8,5,Inter Europol Competition,Oreca 07 - Gibson,LMP2,,Spa,6,2021,159,6:02:06.270,3 Laps,1'33.722,Goodyear,Classified,79.0,2:07.012,198.5,Jakub SMIECHOWSKI,Renger VAN DER ZANDE,Alex BRUNDLE
Realteam Racing #70,9,6,Realteam Racing,Oreca 07 - Gibson,LMP2,P/A,Spa,6,2021,158,6:00:58.103,4 Laps,1 Laps,Goodyear,Classified,35.0,2:06.434,199.4,Esteban GARCIA,Loïc DUVAL,Norman NATO
